d_model,dropout,monte_carlo_N,use_monte_carlo_sim,no_mc_fill_val,gamma,episodes_to_train,gae_lambda,ppo_eps,ppo_batch,ppo_epochs,entropy_beta,bias_mode,use_true_reward,reward_params,agent_params,critic_params,expert_model_dir,score
1500,0.0,5,True,0.0,0.97,9,0.909968323866708,0.2,1,8,0.0004765572677809507,max,False,"{'num_layers': 2, 'd_model': 421, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 4, 'use_attention': False, 'bidirectional': True, 'dropout': 0.2925347503198279, 'use_validity_flag': -1, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0014805953778484076, 'optimizer__global__lr': 0.44792254979127255}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.011423040529038715, 'optimizer__global__lr': 0.0001612035957629892}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00036112341639469995, 'optimizer__global__lr': 0.5728470013832712}",./model_dir/expert_xgb_reg,2.526
1500,0.0,5,True,0.0,0.97,10,0.999,0.2,1,2,1.0,max,False,"{'num_layers': 2, 'd_model': 273, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 2, 'use_attention': False, 'bidirectional': True, 'dropout': 0.8539619807034515, 'use_validity_flag': -1, 'optimizer': 'adagrad', 'optimizer__global__weight_decay': 0.0694167482883858, 'optimizer__global__lr': 0.01089843538281918}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00048776643362339185, 'optimizer__global__lr': 0.00020266817114694666}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 0.021227740893769557}",./model_dir/expert_xgb_reg,2.352
1500,0.0,5,True,0.0,0.97,10,0.9,0.2,1,10,0.005056904826978095,max,False,"{'num_layers': 2, 'd_model': 409, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 4, 'use_attention': False, 'bidirectional': True, 'dropout': 0.16263512814168932, 'use_validity_flag': -1, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0014064896395009263, 'optimizer__global__lr': 1.0}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.01118264828998264, 'optimizer__global__lr': 0.0001}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 1.0}",./model_dir/expert_xgb_reg,2.333
1500,0.0,5,True,0.0,0.97,10,0.999,0.2,1,5,1.0,max,False,"{'num_layers': 2, 'd_model': 401, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 2, 'use_attention': False, 'bidirectional': True, 'dropout': 1.0, 'use_validity_flag': -1, 'optimizer': 'adagrad', 'optimizer__global__weight_decay': 0.9166777179273083, 'optimizer__global__lr': 0.07230877344851601}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 0.060452575284239446}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 0.6488779517006641}",./model_dir/expert_xgb_reg,2.33
1500,0.0,5,True,0.0,0.97,9,0.9085677201715893,0.2,1,8,0.0006235800911078255,max,False,"{'num_layers': 2, 'd_model': 431, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 4, 'use_attention': False, 'bidirectional': True, 'dropout': 0.3146377266357125, 'use_validity_flag': -1, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0009450629211359391, 'optimizer__global__lr': 0.360260920754518}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.01576649521667871, 'optimizer__global__lr': 0.00014495042328887143}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.000411750613037072, 'optimizer__global__lr': 0.7480025162599353}",./model_dir/expert_xgb_reg,2.309
1500,0.0,5,True,0.0,0.97,5,0.9,0.2,1,2,1.0,max,False,"{'num_layers': 2, 'd_model': 512, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 2, 'use_attention': False, 'bidirectional': True, 'dropout': 1.0, 'use_validity_flag': -1, 'optimizer': 'adamax', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 0.0001}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 1.0, 'optimizer__global__lr': 0.0001}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.27515252351716946, 'optimizer__global__lr': 0.06348308526612575}",./model_dir/expert_xgb_reg,2.299
1500,0.0,5,True,0.0,0.97,8,0.9,0.2,1,10,1.0,max,False,"{'num_layers': 2, 'd_model': 248, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 2, 'use_attention': False, 'bidirectional': True, 'dropout': 1.0, 'use_validity_flag': -1, 'optimizer': 'sgd', 'optimizer__global__weight_decay': 0.0006936023266844375, 'optimizer__global__lr': 0.10485775149588399}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 1.0, 'optimizer__global__lr': 0.0001}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0001, 'optimizer__global__lr': 0.0003653214195506531}",./model_dir/expert_xgb_reg,2.289
1500,0.0,5,True,0.0,0.97,9,0.9462446167658355,0.2,1,4,0.3787084020096959,max,False,"{'num_layers': 2, 'd_model': 338, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 5, 'use_attention': False, 'bidirectional': True, 'dropout': 0.5680779439239895, 'use_validity_flag': -1, 'optimizer': 'adagrad', 'optimizer__global__weight_decay': 0.009949496719996297, 'optimizer__global__lr': 0.0038752528036731693}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0013571770847993323, 'optimizer__global__lr': 0.00325983235075259}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0002530812542305835, 'optimizer__global__lr': 0.10754136522348222}",./model_dir/expert_xgb_reg,2.262
1500,0.0,5,True,0.0,0.97,9,0.9023627473875855,0.2,1,7,1.0,max,False,"{'num_layers': 2, 'd_model': 441, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 4, 'use_attention': False, 'bidirectional': True, 'dropout': 1.0, 'use_validity_flag': -1, 'optimizer': 'sgd', 'optimizer__global__weight_decay': 0.003056646327492074, 'optimizer__global__lr': 0.7850015656866179}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 1.0, 'optimizer__global__lr': 0.0001}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0010974508870860763, 'optimizer__global__lr': 0.002847650565218275}",./model_dir/expert_xgb_reg,2.257
1500,0.0,5,True,0.0,0.97,7,0.9605228010542038,0.2,1,3,0.00047204419114894495,max,False,"{'num_layers': 2, 'd_model': 183, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 9, 'use_attention': False, 'bidirectional': True, 'dropout': 0.11468347824908962, 'use_validity_flag': -1, 'optimizer': 'adagrad', 'optimizer__global__weight_decay': 0.004292490543921524, 'optimizer__global__lr': 0.0007120973952065376}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0845587929091842, 'optimizer__global__lr': 0.0001591729668366765}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.03336203704080139, 'optimizer__global__lr': 0.0016180059673842747}",./model_dir/expert_xgb_reg,2.244
1500,0.0,5,True,0.0,0.97,10,0.9153838431239736,0.2,1,8,0.00010011822269989831,max,False,"{'num_layers': 2, 'd_model': 408, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 4, 'use_attention': False, 'bidirectional': True, 'dropout': 0.10182277336459342, 'use_validity_flag': -1, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0015227302381196075, 'optimizer__global__lr': 1.0}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00237052138648684, 'optimizer__global__lr': 0.00013341242637699848}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00014934442468504214, 'optimizer__global__lr': 1.0}",./model_dir/expert_xgb_reg,2.207
1500,0.0,5,True,0.0,0.97,6,0.902038510135848,0.2,1,4,0.06746363136521313,max,False,"{'num_layers': 2, 'd_model': 310, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 10, 'use_attention': False, 'bidirectional': True, 'dropout': 0.686040264885867, 'use_validity_flag': -1, 'optimizer': 'adagrad', 'optimizer__global__weight_decay': 0.0022723944863880484, 'optimizer__global__lr': 0.0026265217080569487}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.3363323048333394, 'optimizer__global__lr': 0.0004206170149164085}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0008858073290329981, 'optimizer__global__lr': 0.1712177987022328}",./model_dir/expert_xgb_reg,2.164
1500,0.0,5,True,0.0,0.97,6,0.9149821325341291,0.2,1,6,0.4850051723721152,max,False,"{'num_layers': 2, 'd_model': 428, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 3, 'use_attention': False, 'bidirectional': True, 'dropout': 0.9255387445379892, 'use_validity_flag': -1, 'optimizer': 'adamax', 'optimizer__global__weight_decay': 0.000894558197797492, 'optimizer__global__lr': 0.0005429106972066926}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.43574094743534186, 'optimizer__global__lr': 0.00033103415304751175}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.008409227517040917, 'optimizer__global__lr': 0.0009390793970487403}",./model_dir/expert_xgb_reg,2.112
1500,0.0,5,True,0.0,0.97,9,0.9916307297807281,0.2,1,9,0.13731871235669213,max,False,"{'num_layers': 2, 'd_model': 272, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 8, 'use_attention': False, 'bidirectional': True, 'dropout': 0.7813653002652453, 'use_validity_flag': -1, 'optimizer': 'sgd', 'optimizer__global__weight_decay': 0.016194661483464535, 'optimizer__global__lr': 0.03354460073477872}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0015872421033190742, 'optimizer__global__lr': 0.001088550282281016}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00026290955996795273, 'optimizer__global__lr': 0.02181673367285686}",./model_dir/expert_xgb_reg,2.004
1500,0.0,5,True,0.0,0.97,5,0.9482297786520572,0.2,1,10,1.0,max,False,"{'num_layers': 2, 'd_model': 128, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 2, 'use_attention': False, 'bidirectional': True, 'dropout': 1.0, 'use_validity_flag': -1, 'optimizer': 'sgd', 'optimizer__global__weight_decay': 0.000526382734204202, 'optimizer__global__lr': 0.0001}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 1.0, 'optimizer__global__lr': 0.0003145107632737355}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0001380153803563328, 'optimizer__global__lr': 0.0001}",./model_dir/expert_xgb_reg,1.844
1500,0.0,5,True,0.0,0.97,7,0.9675954817444206,0.2,1,7,0.001365999445369679,max,False,"{'num_layers': 2, 'd_model': 382, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 9, 'use_attention': False, 'bidirectional': True, 'dropout': 0.9192796387397711, 'use_validity_flag': -1, 'optimizer': 'adamax', 'optimizer__global__weight_decay': 0.25659423983496904, 'optimizer__global__lr': 0.6921582076953962}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.00019949032145522204, 'optimizer__global__lr': 0.002066216026105947}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.08017920291972211, 'optimizer__global__lr': 0.002989740944027177}",./model_dir/expert_xgb_reg,-1.0
1500,0.0,5,True,0.0,0.97,9,0.9430044089292511,0.2,1,9,0.10475861610396849,max,False,"{'num_layers': 2, 'd_model': 162, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 4, 'use_attention': False, 'bidirectional': True, 'dropout': 0.4942638773046836, 'use_validity_flag': -1, 'optimizer': 'adamax', 'optimizer__global__weight_decay': 0.00010221334891006876, 'optimizer__global__lr': 0.01118091861390439}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.05013180070091259, 'optimizer__global__lr': 0.5913437196753801}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.010183897477100941, 'optimizer__global__lr': 0.0577570284909069}",./model_dir/expert_xgb_reg,-1.0
1500,0.0,5,True,0.0,0.97,5,0.9196188915345186,0.2,1,2,0.000959454485558504,max,False,"{'num_layers': 2, 'd_model': 470, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 2, 'use_attention': False, 'bidirectional': True, 'dropout': 0.14669742819843387, 'use_validity_flag': -1, 'optimizer': 'sgd', 'optimizer__global__weight_decay': 0.008191947884132708, 'optimizer__global__lr': 0.0007693169288686863}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 1.0, 'optimizer__global__lr': 1.0}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.10215409835262874, 'optimizer__global__lr': 0.0029393563963737773}",./model_dir/expert_xgb_reg,-1.0
1500,0.0,5,True,0.0,0.97,7,0.9243104689475156,0.2,1,8,0.09505591138710015,max,False,"{'num_layers': 2, 'd_model': 504, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 3, 'use_attention': False, 'bidirectional': True, 'dropout': 0.8545206074100934, 'use_validity_flag': -1, 'optimizer': 'adamax', 'optimizer__global__weight_decay': 0.00015056032076355457, 'optimizer__global__lr': 0.0008109682759838731}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.017155259215261214, 'optimizer__global__lr': 0.16658449490730468}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.02651660573106001, 'optimizer__global__lr': 0.16492790413919226}",./model_dir/expert_xgb_reg,-1.0
1500,0.0,5,True,0.0,0.97,7,0.9386791721894734,0.2,1,10,0.28922343063424677,max,False,"{'num_layers': 2, 'd_model': 406, 'unit_type': 'lstm', 'demo_batch_size': 128, 'irl_alg_num_iter': 7, 'use_attention': False, 'bidirectional': True, 'dropout': 0.3566185304273866, 'use_validity_flag': -1, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0010763913108319824, 'optimizer__global__lr': 0.0002921547186142119}","{'unit_type': 'gru', 'num_layers': 2, 'stack_width': 1500, 'stack_depth': 200, 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0058698554447560525, 'optimizer__global__lr': 0.015397853211314448}","{'num_layers': 2, 'd_model': 256, 'unit_type': 'lstm', 'optimizer': 'adadelta', 'optimizer__global__weight_decay': 0.0018008992003901586, 'optimizer__global__lr': 0.012787515311014097}",./model_dir/expert_xgb_reg,-1.0
